2024-10-17T16:12:58.578Z [websocket] info: WebSocket server running on port 8080
2024-10-17T16:12:58.592Z [controller] info: configurado!
2024-10-17T16:13:17.705Z [websocket] info: Message received: 
2024-10-17T16:13:17.743Z [websocket] info: Message received: 
2024-10-17T16:13:17.743Z [websocket] info: Message received: 
2024-10-17T16:13:17.744Z [websocket] info: Message received: 
2024-10-17T16:13:17.744Z [websocket] info: Message received: 
2024-10-17T16:13:17.744Z [websocket] info: Message received: 
2024-10-17T16:13:17.744Z [websocket] info: Message received: 
2024-10-17T16:13:17.744Z [websocket] info: Message received: 
2024-10-17T16:13:17.744Z [websocket] info: Message received: 
2024-10-17T16:13:17.754Z [websocket] info: Message received: 
2024-10-17T16:13:17.774Z [websocket] info: Message received: 
2024-10-17T16:13:17.794Z [websocket] info: Message received: 
2024-10-17T16:13:17.814Z [websocket] info: Message received: 
2024-10-17T16:13:17.836Z [websocket] info: Message received: 
2024-10-17T16:13:17.856Z [websocket] info: Message received: 
2024-10-17T16:13:17.876Z [websocket] info: Message received: 
2024-10-17T16:13:17.895Z [websocket] info: Message received: 
2024-10-17T16:13:17.914Z [websocket] info: Message received: 
2024-10-17T16:13:17.934Z [websocket] info: Message received: 
2024-10-17T16:13:17.954Z [websocket] info: Message received: 
2024-10-17T16:13:17.974Z [websocket] info: Message received: 
2024-10-17T16:13:17.994Z [websocket] info: Message received: 
2024-10-17T16:13:18.014Z [websocket] info: Message received: 
2024-10-17T16:13:18.034Z [websocket] info: Message received: 
2024-10-17T16:13:18.057Z [websocket] info: Message received: 
2024-10-17T16:13:18.076Z [websocket] info: Message received: 
2024-10-17T16:13:18.096Z [websocket] info: Message received: 
2024-10-17T16:13:18.116Z [websocket] info: Message received: 
2024-10-17T16:13:18.134Z [websocket] info: Message received: 
2024-10-17T16:13:18.154Z [websocket] info: Message received: 
2024-10-17T16:13:18.173Z [websocket] info: Message received: 
2024-10-17T16:13:18.193Z [websocket] info: Message received: 
2024-10-17T16:13:18.214Z [websocket] info: Message received: 
2024-10-17T16:13:18.234Z [websocket] info: Message received: 
2024-10-17T16:13:18.254Z [websocket] info: Message received: 
2024-10-17T16:13:18.274Z [websocket] info: Message received: 
2024-10-17T16:13:18.295Z [websocket] info: Message received: 
2024-10-17T16:13:18.319Z [websocket] info: Message received: 
2024-10-17T16:13:18.336Z [websocket] info: Message received: 
2024-10-17T16:13:18.356Z [websocket] info: Message received: 
2024-10-17T16:13:18.376Z [websocket] info: Message received: 
2024-10-17T16:13:18.396Z [websocket] info: Message received: 
2024-10-17T16:13:18.414Z [websocket] info: Message received: 
2024-10-17T16:13:18.434Z [websocket] info: Message received: 
2024-10-17T16:13:18.453Z [websocket] info: Message received: 
2024-10-17T16:13:18.473Z [websocket] info: Message received: 
2024-10-17T16:13:18.493Z [websocket] info: Message received: 
2024-10-17T16:13:18.513Z [websocket] info: Message received: 
2024-10-17T16:13:18.533Z [websocket] info: Message received: 
2024-10-17T16:13:18.553Z [websocket] info: Message received: 
2024-10-17T16:13:18.574Z [websocket] info: Message received: 
2024-10-17T16:13:18.593Z [websocket] info: Message received: 
2024-10-17T16:13:18.613Z [websocket] info: Message received: 
2024-10-17T16:13:18.633Z [websocket] info: Message received: 
2024-10-17T16:13:18.653Z [websocket] info: Message received: 
